_id,Crime_Heads,2023_Registered,2023_Detected,%Age_Detection_-_2023,2022_Registered,2022_Detected,%Age_Detected_2022,Area,Latitude,Longitude,Safety_Score_0_10
1,Murder,123.0,118.0,96,133.0,129.0,97,Santacruz West,19.081,72.841,7.06
2,Att.to.C.Murder,292.0,290.0,99,244.0,239.0,98,Santacruz West,19.081,72.841,6.78
3,Dacoity,25.0,24.0,96,20.0,20.0,100,Santacruz West,19.081,72.841,8.0
4,Prep.for Dacoity,23.0,23.0,100,14.0,14.0,100,Santacruz West,19.081,72.841,8.18
5,Robbery,642.0,628.0,98,846.0,727.0,86,Santacruz West,19.081,72.841,5.95
6,Robbery-Chain Snatching,116.0,111.0,96,190.0,158.0,83,Santacruz West,19.081,72.841,6.62
7,Att.to.C.Robbery,20.0,17.0,85,26.0,23.0,88,Santacruz West,19.081,72.841,7.43
8,Extortion,258.0,208.0,81,308.0,205.0,67,Santacruz West,19.081,72.841,5.58
9,H.B.T.Day,228.0,151.0,66,245.0,133.0,54,Santacruz West,19.081,72.841,5.01
10,H.B.T.Night.,,757.0,71,,837.0,61,Santacruz West,19.081,72.841,
11,Thefts.,,,42,,,22,Santacruz West,19.081,72.841,
12,Pocket Picking,14.0,11.0,79,13.0,5.0,38,Santacruz West,19.081,72.841,6.32
13,M.V.Thefts.,,,59,,,52,Santacruz West,19.081,72.841,
14,Hurt,,,97,,,91,Santacruz West,19.081,72.841,
15,Riots.,292.0,285.0,98,289.0,260.0,90,Santacruz West,19.081,72.841,6.52
16,Rape,973.0,933.0,96,984.0,912.0,93,Santacruz West,19.081,72.841,5.95
17,Molestation,,,95,,,83,Santacruz West,19.081,72.841,
18,Other I.P.C.,,,80,,,81,Santacruz West,19.081,72.841,
19,Total IPC,,,76,,,68,Santacruz West,19.081,72.841,
1,Murder,123.0,118.0,96,133.0,129.0,97,Juhu,19.102,72.826,7.06
2,Att.to.C.Murder,292.0,290.0,99,244.0,239.0,98,Juhu,19.102,72.826,6.78
3,Dacoity,25.0,24.0,96,20.0,20.0,100,Juhu,19.102,72.826,8.0
4,Prep.for Dacoity,23.0,23.0,100,14.0,14.0,100,Juhu,19.102,72.826,8.18
5,Robbery,642.0,628.0,98,846.0,727.0,86,Juhu,19.102,72.826,5.95
6,Robbery-Chain Snatching,116.0,111.0,96,190.0,158.0,83,Juhu,19.102,72.826,6.62
7,Att.to.C.Robbery,20.0,17.0,85,26.0,23.0,88,Juhu,19.102,72.826,7.43
8,Extortion,258.0,208.0,81,308.0,205.0,67,Juhu,19.102,72.826,5.58
9,H.B.T.Day,228.0,151.0,66,245.0,133.0,54,Juhu,19.102,72.826,5.01
10,H.B.T.Night.,,757.0,71,,837.0,61,Juhu,19.102,72.826,
11,Thefts.,,,42,,,22,Juhu,19.102,72.826,
12,Pocket Picking,14.0,11.0,79,13.0,5.0,38,Juhu,19.102,72.826,6.32
13,M.V.Thefts.,,,59,,,52,Juhu,19.102,72.826,
14,Hurt,,,97,,,91,Juhu,19.102,72.826,
15,Riots.,292.0,285.0,98,289.0,260.0,90,Juhu,19.102,72.826,6.52
16,Rape,973.0,933.0,96,984.0,912.0,93,Juhu,19.102,72.826,5.95
17,Molestation,,,95,,,83,Juhu,19.102,72.826,
18,Other I.P.C.,,,80,,,81,Juhu,19.102,72.826,
19,Total IPC,,,76,,,68,Juhu,19.102,72.826,
